date,ADANIENT,TATAELXSI,BRITANNIA
2020-01-27 15:35:00+05:30,5953.0,,-96.0
2020-01-28 15:35:00+05:30,5966.0,,7.0
2020-01-29 15:35:00+05:30,5953.0,-1489.0,432.0
2020-01-30 15:35:00+05:30,5842.0,-1389.0,417.0
2020-01-31 15:35:00+05:30,5896.0,-1389.0,415.0
2020-02-03 15:35:00+05:30,,,391.0
2020-02-04 15:35:00+05:30,107.0,,396.0
2020-02-05 15:35:00+05:30,119.0,,396.0
2020-02-06 15:35:00+05:30,119.0,,396.0
2020-02-07 15:35:00+05:30,119.0,,396.0
2020-02-10 15:35:00+05:30,3478.0,409.0,
2020-02-11 15:35:00+05:30,5176.0,1183.0,-408.0
2020-02-12 15:35:00+05:30,5080.0,,
2020-02-13 15:35:00+05:30,5078.0,15.0,
2020-02-14 15:35:00+05:30,5077.0,,
2020-02-17 15:35:00+05:30,5078.0,-1302.0,
2020-02-18 15:35:00+05:30,,-1372.0,-425.0
2020-02-19 15:35:00+05:30,,,-393.0
2020-02-20 15:35:00+05:30,4721.0,,-393.0
2020-02-24 15:35:00+05:30,,,-397.0
2020-02-25 15:35:00+05:30,,,
